"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,26.1848981141071,17.927960655234,NA,NA
"Y1977",55,69.7117113612579,48.8557393971962,NA,NA
"Y1977",60,106.76291243011,78.3777906233859,NA,NA
"Y1977",65,140.435842146659,105.343386097635,NA,NA
"Y1977",70,166.817807833884,128.346920140987,NA,NA
"Y1977",75,191.746903038171,150.318928481876,NA,NA
"Y1977",80,214.575524168415,172.705824611534,NA,NA
"Y1977",85,221.556907791502,183.353861789049,NA,NA
"Y1977",90,165.764515196372,149.748724149511,NA,NA
"Y1977",95,120.435157474302,125.355380155516,NA,NA
"Y1977",100,94.174641501863,106.14609171527,NA,NA
"Y1977",105,83.7033284663654,90.602331011472,NA,NA
"Y1977",110,63.2582302997211,77.3425839430752,NA,NA
"Y1977",115,46.4252575825741,46.4252575825741,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,19.6046444207089,13.5086092921317,NA,NA
"Y1999",55,54.7370805667359,38.5731549711672,NA,NA
"Y1999",60,86.5024947383734,63.1534873227655,NA,NA
"Y1999",65,116.20324774604,86.6017363744782,NA,NA
"Y1999",70,143.345128695662,108.571829768658,NA,NA
"Y1999",75,167.006746189298,128.341482809407,NA,NA
"Y1999",80,187.980148343691,147.80237202884,NA,NA
"Y1999",85,200.081296653968,160.126224472329,NA,NA
"Y1999",90,158.864273391323,136.502511342267,NA,NA
"Y1999",95,126.871659797442,118.566068141449,NA,NA
"Y1999",100,95.7715101638759,96.4960144807549,NA,NA
"Y1999",105,83.9686219090373,90.7084964296536,NA,NA
"Y1999",110,87.4584863672107,97.4188959565331,NA,NA
"Y1999",115,80.3896098747621,0,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,14.7911295584777,9.79869280504799,NA,NA
"Y2015",55,42.9469778818284,28.9296370851952,NA,NA
"Y2015",60,69.2391896954782,47.732609785776,NA,NA
"Y2015",65,93.237098225552,65.7910436299371,NA,NA
"Y2015",70,118.091381367395,84.5377580812401,NA,NA
"Y2015",75,139.645731783509,100.607867641364,NA,NA
"Y2015",80,158.157977796912,116.664814566093,NA,NA
"Y2015",85,169.998841165954,127.880137128872,NA,NA
"Y2015",90,141.896528218363,110.804876048729,NA,NA
"Y2015",95,117.93537309667,98.8180354134796,NA,NA
"Y2015",100,95.8334791487374,82.7857515311138,NA,NA
"Y2015",105,90.7602559076841,82.6555957414197,NA,NA
"Y2015",110,89.4974087831866,98.7668328162767,NA,NA
"Y2015",115,43.965728302115,43.965728302115,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,201.236328282106,0.99639
"Historical",55,NA,NA,225.746790607488,1.98629794559911
"Historical",60,NA,NA,259.353146933249,2.92326124621318
"Historical",65,NA,NA,280.182649361796,3.77635400738206
"Historical",70,NA,NA,301.642637002039,4.57703414565131
"Historical",75,NA,NA,320.096928673451,5.3283788707273
"Historical",80,NA,NA,334.34376310127,6.00621234366077
"Historical",85,NA,NA,162.047544697015,5.86030016170408
"Historical",90,NA,NA,0,4.86570408739216
"Historical",95,NA,NA,0,4.07393302942618
"Historical",100,NA,NA,0,3.49710888993714
"Historical",105,NA,NA,0,3.05178502099777
"Historical",110,NA,NA,0,2.51901161985186
"Historical",115,NA,NA,0,2.3749406424329
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
