"Age recode with <1 year olds","Crude Rate","Count","Population"
0,0.0,0,765664
1,0.0,0,2930891
2,0.0,0,4054111
3,0.0,1,4543802
4,0.2,8,4921144
5,1.3,61,4818118
6,8.5,390,4576150
7,26.0,1018,3921551
8,57.6,1779,3090013
9,109.0,2982,2734976
10,172.1,4824,2802539
11,197.0,5789,2937860
12,220.9,5997,2714232
13,260.8,6011,2304858
14,284.3,5549,1951631
15,306.1,4745,1550264
16,333.3,3908,1172607
17,341.5,2813,823674
18,382.3,2418,632553
19,~,0,0
