"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,26.1848981141071,23.1541743351161,201.236328282106,0.99639
"Historical",55,69.7117113612579,62.7373348382923,225.746790607488,1.98629794559911
"Historical",60,106.76291243011,97.3878945491713,259.353146933249,2.92326124621318
"Historical",65,140.435842146659,128.816828136381,280.182649361796,3.77635400738206
"Historical",70,166.817807833884,153.662193044598,301.642637002039,4.57703414565131
"Historical",75,191.746903038171,178.494835987047,320.096928673451,5.3283788707273
"Historical",80,214.575524168415,200.905443852553,334.34376310127,6.00621234366077
"Historical",85,221.556907791502,208.640959449073,162.047544697015,5.86030016170408
"Historical",90,165.764515196372,162.548858330797,0,4.86570408739216
"Historical",95,120.435157474302,121.67180522782,0,4.07393302942618
"Historical",100,94.174641501863,99.6355251244035,0,3.49710888993714
"Historical",105,83.7033284663654,87.0493742410659,0,3.05178502099777
"Historical",110,63.2582302997211,71.1188666557093,0,2.51901161985186
"Historical",115,46.4252575825741,46.4252575825741,0,2.3749406424329
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,19.6046444207089,17.4209468734021,NA,NA
"Contemp1999",55,54.7370805667359,49.1869923059462,NA,NA
"Contemp1999",60,86.5024947383734,78.5140922361938,NA,NA
"Contemp1999",65,116.20324774604,106.795522010395,NA,NA
"Contemp1999",70,143.345128695662,131.657304361814,NA,NA
"Contemp1999",75,167.006746189298,154.483133277844,NA,NA
"Contemp1999",80,187.980148343691,175.120803968849,NA,NA
"Contemp1999",85,200.081296653968,186.86165905726,NA,NA
"Contemp1999",90,158.864273391323,152.598235088323,NA,NA
"Contemp1999",95,126.871659797442,124.688624158004,NA,NA
"Contemp1999",100,95.7715101638759,98.045951821042,NA,NA
"Contemp1999",105,83.9686219090373,89.919792007039,NA,NA
"Contemp1999",110,87.4584863672107,78.7173943989752,NA,NA
"Contemp1999",115,80.3896098747621,80.3896098747621,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,14.7911295584777,13.0622263047972,NA,NA
"Perfect",55,42.9469778818284,38.1860988368607,NA,NA
"Perfect",60,69.2391896954782,62.3639683047121,NA,NA
"Perfect",65,93.237098225552,84.3525760746869,NA,NA
"Perfect",70,118.091381367395,107.400674714742,NA,NA
"Perfect",75,139.645731783509,127.050466610213,NA,NA
"Perfect",80,158.157977796912,145.286358935064,NA,NA
"Perfect",85,169.998841165954,156.532479035334,NA,NA
"Perfect",90,141.896528218363,132.090281542405,NA,NA
"Perfect",95,117.93537309667,112.584476388707,NA,NA
"Perfect",100,95.8334791487374,91.6470886999648,NA,NA
"Perfect",105,90.7602559076841,93.8518079803894,NA,NA
"Perfect",110,89.4974087831866,92.0603107621821,NA,NA
"Perfect",115,43.965728302115,43.965728302115,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
