"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Historical",50,25.982951133545,21.8672974192085,201.236811114579,0.99639
"Historical",55,69.9564737277175,59.7225791671153,225.746108159183,1.98719902396266
"Historical",60,106.114988207651,91.6804102354511,259.351853451401,2.92272786730878
"Historical",65,140.185590730282,122.139559166544,280.170820951097,3.77950603602244
"Historical",70,168.365193724303,148.799123116738,301.649517355677,4.5791906880895
"Historical",75,192.977527517212,172.621281190709,320.126814493013,5.32240846723615
"Historical",80,214.859363412041,193.997891539648,334.387362590604,5.99413500453222
"Historical",85,221.513711428915,203.095785010211,162.069406090071,5.8462061931691
"Historical",90,165.381000352195,159.029635351692,0,4.85129738726718
"Historical",95,121.063368563457,122.305031076683,0,4.06426051164261
"Historical",100,93.3672572351991,99.1520719031369,0,3.50345250671528
"Historical",105,80.470251923655,80.9524962116301,0,3.05102378088397
"Historical",110,65.8122945831847,80.4624233495341,0,2.59906627314873
"Historical",115,37.2617915333767,0,0,2.15910456353147
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
"Contemp1999",50,19.8187781765284,16.7463245317477,NA,NA
"Contemp1999",55,54.7624547032572,46.8917074664909,NA,NA
"Contemp1999",60,87.0524512051352,75.0410298788608,NA,NA
"Contemp1999",65,116.630983750827,101.046409285497,NA,NA
"Contemp1999",70,144.07454816849,126.137240504177,NA,NA
"Contemp1999",75,167.701708040157,148.34795611156,NA,NA
"Contemp1999",80,188.970947314624,168.743921870526,NA,NA
"Contemp1999",85,199.436394832198,180.338698087719,NA,NA
"Contemp1999",90,161.32077613713,150.526224847829,NA,NA
"Contemp1999",95,124.914110012794,121.690328576496,NA,NA
"Contemp1999",100,104.220410212746,104.391877741782,NA,NA
"Contemp1999",105,88.604412444001,86.0827202229264,NA,NA
"Contemp1999",110,65.6640025338597,86.0007793738165,NA,NA
"Contemp1999",115,33.4981431285813,33.4981431285813,NA,NA
"Contemp1999",120,NA,NA,NA,NA
"Contemp1999",125,NA,NA,NA,NA
"Perfect",50,16.4210999094158,13.7407925028912,NA,NA
"Perfect",55,46.0638559181586,38.6087326732896,NA,NA
"Perfect",60,74.7509789661638,63.2841665579964,NA,NA
"Perfect",65,100.138342834611,85.1575442961441,NA,NA
"Perfect",70,125.13952061326,106.858086247023,NA,NA
"Perfect",75,147.717928762141,127.621010117717,NA,NA
"Perfect",80,168.098119348376,145.937148952745,NA,NA
"Perfect",85,178.483078876606,157.230130468311,NA,NA
"Perfect",90,148.055970004547,133.2912342976,NA,NA
"Perfect",95,118.159215698059,110.744384239927,NA,NA
"Perfect",100,100.940058262347,97.8653950031314,NA,NA
"Perfect",105,85.829478278466,83.3634743088315,NA,NA
"Perfect",110,54.4451333531068,60.2881294209744,NA,NA
"Perfect",115,108.553214143622,137.652199858862,NA,NA
"Perfect",120,NA,NA,NA,NA
"Perfect",125,NA,NA,NA,NA
